epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9864860773086548,0.3060057759284973,0.11482542008161545,0.05953935533761978,0.06079971417784691,0.08160624653100967,0.001,0.5357615947723389,0.9858676195144653,0.9734212756156921,0.995802640914917,0.9865894317626953,0.31475019454956055,0.14122293889522552,0.06653155386447906,0.0565633587539196,0.05382269620895386,0.5660709738731384,0.9870204329490662,0.9865683913230896,0.995675802230835
1,0.9870392680168152,0.34449413418769836,0.18291983008384705,0.11396966129541397,0.08614138513803482,0.05028050020337105,0.001,0.5233447551727295,0.9886424541473389,0.9862755537033081,0.996221661567688,0.9865940809249878,0.33850425481796265,0.16371788084506989,0.11369728296995163,0.08153808861970901,0.0502028651535511,0.5343393087387085,0.9879682660102844,0.9865151643753052,0.9959962368011475
2,0.9873384833335876,0.36575305461883545,0.21193842589855194,0.1577097624540329,0.09811168164014816,0.04775639623403549,0.001,0.4686461091041565,0.9896285533905029,0.9860842227935791,0.9965540170669556,0.9867708683013916,0.34137365221977234,0.16595380008220673,0.12609730660915375,0.07853683084249496,0.054983481764793396,0.5039836764335632,0.9879857897758484,0.9865360856056213,0.9960016012191772
3,0.9879586100578308,0.3873478174209595,0.25197845697402954,0.1955779492855072,0.1062886193394661,0.04526452347636223,0.001,0.4596526324748993,0.9905126690864563,0.9859139919281006,0.9968506097793579,0.9879886507987976,0.41587334871292114,0.2998226583003998,0.2547997534275055,0.11346989125013351,0.04600929468870163,0.46761053800582886,0.9913625121116638,0.9849222898483276,0.997138261795044
4,0.9885523915290833,0.41129007935523987,0.3022056221961975,0.23441742360591888,0.11271179467439651,0.04282426834106445,0.001,0.47618916630744934,0.9908300042152405,0.986614465713501,0.9969565868377686,0.9888619780540466,0.43326336145401,0.337823748588562,0.2556830644607544,0.1434897780418396,0.041155677288770676,0.4792487621307373,0.9918245673179626,0.9859971404075623,0.997289776802063
5,0.9891929626464844,0.43746522068977356,0.3428756892681122,0.2819748520851135,0.12882022559642792,0.04001886770129204,0.001,0.48717355728149414,0.9913437366485596,0.9873939156532288,0.9971275329589844,0.9893306493759155,0.4557006061077118,0.39115801453590393,0.28403955698013306,0.1513344943523407,0.04058300703763962,0.5262349843978882,0.9916500449180603,0.9874274134635925,0.9972295761108398
6,0.9894960522651672,0.4544084966182709,0.365715354681015,0.31632888317108154,0.13922816514968872,0.03869329020380974,0.001,0.482167512178421,0.9915827512741089,0.9878050088882446,0.9972060322761536,0.9895824790000916,0.4726434648036957,0.38389161229133606,0.34603244066238403,0.1640201210975647,0.03695128113031387,0.48794451355934143,0.9916718602180481,0.9880227446556091,0.9972357153892517
7,0.9897781014442444,0.4704311490058899,0.3891187012195587,0.34565091133117676,0.15037205815315247,0.03677519038319588,0.001,0.482308030128479,0.991826593875885,0.9881759285926819,0.9972877502441406,0.9900078177452087,0.49859777092933655,0.39675018191337585,0.4132140874862671,0.18752571940422058,0.03455051779747009,0.5132814645767212,0.9926691055297852,0.9878062009811401,0.9975700974464417
8,0.9902122616767883,0.4870690703392029,0.41110900044441223,0.37789788842201233,0.16246557235717773,0.03500126302242279,0.001,0.48560383915901184,0.9922267198562622,0.9886183142662048,0.9974202513694763,0.9899757504463196,0.4896931052207947,0.41545382142066956,0.3830864131450653,0.16348257660865784,0.03586377575993538,0.4572416841983795,0.9920597076416016,0.9882398247718811,0.9973650574684143
9,0.9905684590339661,0.49964943528175354,0.42741674184799194,0.405636727809906,0.16856491565704346,0.0337488166987896,0.001,0.4719366729259491,0.9924689531326294,0.9890726804733276,0.9975000619888306,0.9893004894256592,0.4470817744731903,0.30843111872673035,0.3645905554294586,0.11906212568283081,0.04089603200554848,0.5659000873565674,0.9903904795646667,0.9886422157287598,0.9968039393424988
10,0.9906044602394104,0.5030152201652527,0.4315791130065918,0.4106643795967102,0.17282962799072266,0.033609963953495026,0.001,0.46202102303504944,0.9925007224082947,0.989112138748169,0.997510552406311,0.9898365139961243,0.5240764617919922,0.4477907717227936,0.48333433270454407,0.16844308376312256,0.03467272222042084,0.40492933988571167,0.9922090768814087,0.9879487156867981,0.9974190592765808
11,0.9905636310577393,0.5090035200119019,0.44033947587013245,0.42310988903045654,0.1755327582359314,0.03289276361465454,0.001,0.4499845504760742,0.9925076365470886,0.9890424609184265,0.9975129961967468,0.9905020594596863,0.5179255604743958,0.4449434280395508,0.42128628492355347,0.20842984318733215,0.03328980877995491,0.45023056864738464,0.9931305646896362,0.9883053302764893,0.9977222681045532
12,0.9910714626312256,0.5277224183082581,0.46538862586021423,0.46199774742126465,0.18620456755161285,0.030777467414736748,0.001,0.48642846941947937,0.9929367899894714,0.9896515011787415,0.9976549744606018,0.9906499981880188,0.5344484448432922,0.44679564237594604,0.5070177316665649,0.18685229122638702,0.03242172300815582,0.4774290919303894,0.9927008748054504,0.9889553189277649,0.9975776672363281
13,0.9909807443618774,0.5264233946800232,0.46085599064826965,0.46096011996269226,0.18661247193813324,0.030856512486934662,0.001,0.5001893639564514,0.9928905963897705,0.9894936680793762,0.9976401925086975,0.9907845258712769,0.5626519918441772,0.5056523680686951,0.5233458280563354,0.22441773116588593,0.03145885840058327,0.46800705790519714,0.9933208227157593,0.9885441660881042,0.99778813123703
14,0.9910970330238342,0.5304492712020874,0.47055065631866455,0.4612712562084198,0.1926489770412445,0.030513141304254532,0.001,0.5049320459365845,0.9930213689804077,0.9896318316459656,0.9976839423179626,0.990699291229248,0.5076279640197754,0.4683767259120941,0.3634735941886902,0.20141208171844482,0.03185562789440155,0.47977539896965027,0.9925042390823364,0.9893226623535156,0.9975104331970215
15,0.9913985133171082,0.5460619926452637,0.4874601364135742,0.49405694007873535,0.20524248480796814,0.028908470645546913,0.001,0.5117063522338867,0.9933205246925354,0.9899324774742126,0.9977827668190002,0.9907580018043518,0.5551989078521729,0.4666344225406647,0.5438641905784607,0.21307970583438873,0.030904488638043404,0.4969761371612549,0.9933506846427917,0.9886729717254639,0.9977975487709045
16,0.9914512038230896,0.5496655106544495,0.49191680550575256,0.5024141073226929,0.20683331787586212,0.0289218258112669,0.001,0.452778160572052,0.9933309555053711,0.9900080561637878,0.9977859854698181,0.991163969039917,0.5450152158737183,0.48643308877944946,0.4876285791397095,0.20857957005500793,0.02941979467868805,0.4509372115135193,0.9930052757263184,0.9897152185440063,0.9976781606674194
17,0.9917119741439819,0.5600712299346924,0.5060713887214661,0.5217591524124146,0.21483184397220612,0.027754615992307663,0.001,0.4609188139438629,0.9935740828514099,0.9903143644332886,0.9978673458099365,0.9914562106132507,0.5509523749351501,0.5053620934486389,0.5030393600463867,0.1978723704814911,0.02910204790532589,0.3955628573894501,0.9930164813995361,0.9903303980827332,0.9976797103881836
18,0.9917030930519104,0.5610116720199585,0.5097841620445251,0.5164725184440613,0.22014349699020386,0.02771594189107418,0.001,0.43609848618507385,0.9935852885246277,0.9902834296226501,0.9978703856468201,0.9901397228240967,0.49142926931381226,0.3281695544719696,0.44718921184539795,0.1936565786600113,0.037114791572093964,0.4813643991947174,0.99193274974823,0.9887669086456299,0.9973198771476746
19,0.991858959197998,0.5705575942993164,0.5140562057495117,0.5369786620140076,0.23347075283527374,0.02684563398361206,0.001,0.46593230962753296,0.9937942028045654,0.9903731942176819,0.9979395270347595,0.9919047355651855,0.5794565081596375,0.5107669830322266,0.5692674517631531,0.24005533754825592,0.026844000443816185,0.4062458872795105,0.9939573407173157,0.9902175068855286,0.9979948997497559
20,0.991957426071167,0.5791022777557373,0.5276622772216797,0.5507113933563232,0.2402719408273697,0.026297835633158684,0.001,0.4686098098754883,0.9939209818840027,0.9904772043228149,0.9979828000068665,0.9912657141685486,0.6052757501602173,0.5732825994491577,0.5560271739959717,0.2943384051322937,0.028677860274910927,0.4626837372779846,0.9934715032577515,0.9894489645957947,0.9978346228599548
